10000143148,0.88,0.5,0,0,0,0.13,0,0,0
10000206426,0.88,1,1,0,1,0.69,0.75,1,1
10000506321,0.88,0.5,0,0.93,0,0.19,0,0,0
10000716295,0.88,0.5,0,0,0,0.13,0,0,0
10001327520,0.75,1,1,0.8,1,0.56,0.75,1,1
10001597712,0.88,1,1,0.8,1,0.56,0.75,1,1
10001676393,0.88,0.5,0,0,0,0.13,0,0,0
10002067376,0,0.5,0,0,0,0.13,0,0,0
10006030112,0.88,0.5,0,0,0,0.06,0,0,0
10006521001,0.88,1,0,0,0,0.13,0,0,0
10006545774,0.88,0.5,0,0,0,0.13,0,0,0
10006558113,0.63,0.5,0,0,0,0.13,0,0,0
10006594583,0.88,0.5,0,0,0,0.19,0,0,0
10006599381,0.63,0.5,0,0,0,0,0,0,0
10006601280,0.75,0.5,0,0,0,0.13,0,0,1
10008450535,0.88,0.5,0,0,1,0.13,0,0,0
10010459568,0.88,1,1,0.8,1,0.56,0.81,1,1
10010665504,0.88,0.5,0,0.33,0,0.13,0,0,0
10011590993,0.88,1,1,0,1,0.56,0.75,1,1
10013758760,0.75,1,1,0.67,1,0.38,0.38,1,1
10013777855,0.88,1,1,0,1,0.56,0.75,1,1
10013969728,0.88,1,1,0.73,1,0.44,0.38,1,1
10014117683,0.88,1,1,0.8,1,0.56,0.38,1,1
10014408185,0.88,1,1,0.73,1,0.38,0.06,1,1
10014481426,0.88,1,1,0,1,0.56,0.75,1,1
10014548534,0.88,1,1,0,1,0.56,0.75,1,1
10015644658,0.88,0.5,0,0,0,0,0,0,0
10015760347,0.88,1,1,0.73,1,0.56,0.75,1,1
10015911380,0.88,0.5,0,0,0,0.13,0,0,0
10016180815,0.88,1,1,0,1,0.56,0.75,1,1
10016206602,0.88,1,1,0,1,0.56,0.75,1,1
10017487513,0.88,0.5,0,0,0,0.13,0,0,0
10017513555,0.88,0.5,0,0,0,0.13,0,0,0
10017568926,0.88,1,1,0.8,1,0.56,0.75,1,1
10017784052,0.88,0.5,0,0,0,0.13,0,0,0
10017938561,0.88,0.5,0,0,0,0.19,0,0,0
10018540787,0.88,1,1,0.8,1,0.44,0.81,1,1
10018754807,0.88,0.5,0,0.2,0,0.13,0,0,0
